,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,489,3624,12982,16279,14209,20786,22145,18433,18859,5032,6709,10975,19826,2289,5373
1,3400,10868,9704,17303,15821,22518,12017,5713,12590,22234,9556,8100,16879,8564,10618
2,5693,4869,18351,11064,4040,17631,7178,22900,7849,1737,9655,2856,9967,951,17955
3,11393,22425,8940,17173,14657,23030,7360,3096,4970,3894,2718,19438,16841,21965,13114
4,14301,15596,21490,18406,6033,20894,3485,6516,18608,20120,9216,2971,18838,21242,13320
5,22461,18632,13658,7374,8154,15036,6365,1577,15345,17818,2175,22460,17213,1763,18141
